U.S. Ending Stocks of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRSTUS1&f=M
17:59:02 GMT+0200 (heure d’été d’Europe centrale)
Source: U.S. Energy Information Administration
Month,U.S. Ending Stocks of Crude Oil Thousand Barrels
Jan 2019,1097943
Dec 2018,1090933
Nov 2018,1098174
Oct 2018,1087299
Sep 2018,1076150
Aug 2018,1066865
Jul 2018,1069338
Jun 2018,1074852
May 2018,1093444
Apr 2018,1099023
Mar 2018,1088904
Feb 2018,1088978
Jan 2018,1084136
Dec 2017,1084477
Nov 2017,1114332
Oct 2017,1128682
Sep 2017,1143228
Aug 2017,1138781
Jul 2017,1162294
Jun 2017,1180731
May 2017,1201286
Apr 2017,1213073
Mar 2017,1230105
Feb 2017,1220244
Jan 2017,1201876
Dec 2016,1179704
Nov 2016,1185818
Oct 2016,1186290
Sep 2016,1166627
Aug 2016,1181768
Jul 2016,1188554
Jun 2016,1195957
May 2016,1206965
Apr 2016,1204430
Mar 2016,1199923
Feb 2016,1187267
Jan 2016,1166883
Dec 2015,1144339
Nov 2015,1151117
Oct 2015,1150339
Sep 2015,1124257
Aug 2015,1120983
Jul 2015,1119943
Jun 2015,1132701
May 2015,1141306
Apr 2015,1143660
Mar 2015,1134150
Feb 2015,1106266
Jan 2015,1080169
Dec 2014,1051824
Nov 2014,1047692
Oct 2014,1042683
Sep 2014,1023124
Aug 2014,1022048
Jul 2014,1029709
Jun 2014,1045277
May 2014,1056432
Apr 2014,1058654
Mar 2014,1050916
Feb 2014,1041243
Jan 2014,1032207
Dec 2013,1023160
Nov 2013,1040141
Oct 2013,1048566
Sep 2013,1039985
Aug 2013,1033096
Jul 2013,1035360
Jun 2013,1044776
May 2013,1059273
Apr 2013,1063524
Mar 2013,1060590
Feb 2013,1052768
Jan 2013,1045099
Dec 2012,1033064
Nov 2012,1047363
Oct 2012,1044483
Sep 2012,1038294
Aug 2012,1032341
Jul 2012,1042627
Jun 2012,1058104
May 2012,1059710
Apr 2012,1052996
Mar 2012,1043559
Feb 2012,1018830
Jan 2012,1013833
Dec 2011,1004172
Nov 2011,1010553
Oct 2011,1010873
Sep 2011,1004196
Aug 2011,1021273
Jul 2011,1042507
Jun 2011,1060230
May 2011,1072614
Apr 2011,1070955
Mar 2011,1064963
Feb 2011,1053356
Jan 2011,1050002
Dec 2010,1038627
Nov 2010,1057989
Oct 2010,1073380
Sep 2010,1068831
Aug 2010,1065300
Jul 2010,1063603
Jun 2010,1071579
May 2010,1067876
Apr 2010,1069234
Mar 2010,1065046
Feb 2010,1048983
Jan 2010,1042716
Dec 2009,1033756
Nov 2009,1044975
Oct 2009,1039490
Sep 2009,1042160
Aug 2009,1041638
Jul 2009,1051308
Jun 2009,1052755
May 2009,1062804
Apr 2009,1070957
Mar 2009,1061228
Feb 2009,1044826
Jan 2009,1036940
Dec 2008,1010068
Nov 2008,1005839
Oct 2008,996991
Sep 2008,988897
Aug 2008,992226
Jul 2008,985063
Jun 2008,984209
May 2008,990403
Apr 2008,1003707
Mar 2008,997590
Feb 2008,983449
Jan 2008,977076
Dec 2007,965334
Nov 2007,977683
Oct 2007,984162
Sep 2007,986844
Aug 2007,993907
Jul 2007,1009750
Jun 2007,1027223
May 2007,1026358
Apr 2007,1014183
Mar 2007,1002143
Feb 2007,988891
Jan 2007,995938
Dec 2006,984424
Nov 2006,1006789
Oct 2006,1011522
Sep 2006,1004436
Aug 2006,1004462
Jul 2006,1003232
Jun 2006,1008370
May 2006,1012886
Apr 2006,1019145
Mar 2006,1012471
Feb 2006,1011152
Jan 2006,990662
Dec 2005,992195
Nov 2005,991953
Oct 2005,991273
Sep 2005,983986
Aug 2005,994300
Jul 2005,1001211
Jun 2005,1008280
May 2005,1013967
Apr 2005,1013597
Mar 2005,991656
Feb 2005,968023
Jan 2005,949984
