Weekly U.S. Product Supplied of Petroleum Products
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wrpupus2&f=w
11:10:18 GMT+0200 (heure d’été d’Europe centrale)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Petroleum Products Thousand Barrels per Day
04/5/2019,20316
03/29/2019,19998
03/22/2019,20130
03/15/2019,21492
03/8/2019,20808
03/1/2019,20490
02/22/2019,21470
02/15/2019,20720
02/8/2019,19114
02/1/2019,21838
01/25/2019,20815
01/18/2019,21460
01/11/2019,20864
01/4/2019,19764
12/28/2018,19056
12/21/2018,20741
12/14/2018,22329
12/7/2018,21481
11/30/2018,20530
11/23/2018,20485
11/16/2018,21264
11/9/2018,22387
11/2/2018,20386
10/26/2018,20997
10/19/2018,21491
10/12/2018,19960
10/5/2018,19823
09/28/2018,20174
09/21/2018,19999
09/14/2018,21134
09/7/2018,20570
08/31/2018,21663
08/24/2018,22137
08/17/2018,21541
08/10/2018,20187
08/3/2018,20928
07/27/2018,20570
07/20/2018,21700
07/13/2018,21302
07/6/2018,19908
06/29/2018,21272
06/22/2018,20295
06/15/2018,20228
06/8/2018,21801
06/1/2018,18456
05/25/2018,20887
05/18/2018,20653
05/11/2018,20527
05/4/2018,20548
04/27/2018,20164
04/20/2018,19000
04/13/2018,21434
04/6/2018,19812
03/30/2018,21217
03/23/2018,20917
03/16/2018,20675
03/9/2018,20931
03/2/2018,20470
02/23/2018,19872
02/16/2018,20454
02/9/2018,20284
02/2/2018,20843
01/26/2018,21003
01/19/2018,20636
01/12/2018,20809
01/5/2018,20639
12/29/2017,19947
12/22/2017,20775
12/15/2017,21111
12/8/2017,20471
12/1/2017,19948
11/24/2017,19664
11/17/2017,19289
11/10/2017,19755
11/3/2017,21301
10/27/2017,19184
10/20/2017,20010
10/13/2017,19142
10/6/2017,19716
09/29/2017,19714
09/22/2017,21100
09/15/2017,20443
09/8/2017,19715
09/1/2017,19957
08/25/2017,21430
08/18/2017,20678
08/11/2017,20959
08/4/2017,21929
07/28/2017,20591
07/21/2017,21289
07/14/2017,21178
07/7/2017,19958
06/30/2017,22225
06/23/2017,19646
06/16/2017,21067
06/9/2017,19514
06/2/2017,19340
05/26/2017,20757
05/19/2017,20795
05/12/2017,19484
05/5/2017,20545
04/28/2017,19894
04/21/2017,19110
04/14/2017,19440
04/7/2017,19879
03/31/2017,19703
03/24/2017,19874
03/17/2017,19255
03/10/2017,19464
03/3/2017,19900
02/24/2017,19496
02/17/2017,20360
02/10/2017,18663
02/3/2017,20814
01/27/2017,19307
01/20/2017,18639
01/13/2017,20702
01/6/2017,18606
12/30/2016,17925
12/23/2016,20159
12/16/2016,21409
12/9/2016,18879
12/2/2016,19102
11/25/2016,19758
11/18/2016,20034
11/11/2016,19349
11/4/2016,20191
10/28/2016,19884
10/21/2016,20465
10/14/2016,19716
10/7/2016,20738
09/30/2016,20561
09/23/2016,19226
09/16/2016,19431
09/9/2016,20221
